Comentario Original,Ubicacion Encontrada
"This is an adventure that everyone visiting Cabo San Lucas should experience. And I do mean experience, because this is more than just a tour, itâs an experience. The reservations with the booking agent at the resort weâre staying were easy and quick. The transportation to and from the resort was friendly and hassle-free.  The food and drinks (virtually unlimited) were fresh, cold, and most enjoyable. The boat crew who attended to us did so with outstanding service. Seeing whales and dolphins in the water were not part of our expectations, but when the crew spotted several humpback whales in the water, they slowed down so everyone could experience the thrill of seeing the whales jump out of the water. That was quite an experience. When we arrived at the cove to snorkel, the crew very clearly explained to everyone how to do it and individually helped those folks who had a bit of hesitation. Great service there. On the return trip to the marina the crew raised raised the sails on the boat for a 20 minute sail. There wasnât much wind, but it was still cool to be sailing in Sea of Cortez. Overall a great experience. Thank you crew and staff.","sea, cortez"
"We were very fortunate to have a wonderful guide, Isaac, for our Electric Bike Beach Adventure. Also we were in a small group of only three. We felt very safe as we explored various sandy paths with winding and twisty spots. One of us was more adventurous and was guided to attempt more but we all rode at our own comfort level. The scenery is gorgeous and the photos taken by the photographer who always found the right spot to catch us in action were definitely âmust havesâ. We highly recommend this adventure and hope you get a guide as friendly and expert as Isaac.",beach
"Was a fun day with drinks and lunch and whales! Very knowledgeable guide... saw the arch , sea lions, pelicans, & whales. Beautiful clean boat too!  Highly recommend ....",sea
Whale watching in Cabo was an amazing experience. We saw about 5 whales and the boat ride on the Pacific ocean relaxing by the arches was amazing. We were up so close to them. Divorce and Lovers Beach was beautiful from the boat view -,"beach, lovers"
"The four of us had an absolute blast yesterday on the âluxury sailing Cabo tourâ! Jesus, the photographer (Mariela), and captain were absolutely amazing. They docked the sailboat at a bay where we could snorkel and see a beautiful variety of fishes. The food they served was delicious!We were celebrating our best friendâs 30th birthday and she lost her phone (in a waterproof container for pictures) when she was getting out of the water â The string had broken off. Jesus was a sweetheartâdove down and found it. A day that could have turned for worse was saved. Weâre so grateful that Jesus (see photo) went out of his way to make sure we were okay and all enjoying ourselves. Thank you, Jesus!On the way back, we saw whale, dolphins, and seals. The captain and Jesus carefully maneuvered the sails which was an awesome experience in which we felt safe and well protected.Afterwards, Mariela showed us the photos she took which were AMAZING!All in all, we highly recommend this company and crew! In fact, weâre going back two days later for the sunset crew!Note: bring a sweater and sunblock! ð",sea
"we had an absolute blast! felt more like whale CHASING because you get to go so fast to see them!  Franco, our guide, was fantastic! saw sea lions, humpback whales, grey whales, dolphins, manta-rays -- amazing",sea
"Went on the ""Whale Watching Photo Safari"". Fantastic tour guide, very funny, welcoming and informative. Only improvement could be fresh padding on the seats, a little bumpy!",sea
"My husband, Friend & I went on 3 different Cabo Adventures. We loved each of them, but really enjoyed the zip line and the whale watching on the Catamaran. Our zip line guides; Jesus, Ladis, Jonathan, Dionex & Arturo were beyond amazing! The views were awesome and the Superman zip line was well worth it!I was afraid that I would get sea sickness on the whale tour, but on the Catamaran I had no sickness and enjoyed every moment. Our Captain and main guide, both Jorge were great! We saw lots of whales and they even put a microphone in the water and we got to listen to the whale songs! I would definitely recommend Cabo Adventures!",sea
"Every time we are in Los Cabos we take advantage of all the activities Cabo-Adventures offers. Isla EspÃ­ritu Santo(Sea of Cortez) itâs one that I can really recommend. Amazing views land and sea, most times depending the time of the year while on board of the Catamaran you are going to be able enjoy the views and see different birds, dolphins, whales, and if lucky while snorkelling you might be able to see other sea creatures. When not in mating season you are able to snorkel with leones/lobos marinos (sea lions) @ a short distance from Isla EspÃ­ritu Santo. A big thank you to everyone involved with all the activities from Cabo-Adventures but a special thank you to the entire crew from EspÃ­ritu Santo, big thanks to Capitan Jorge that under his command the catamaran is always safe, also a big thanks to my amiga PaceÃ±a Karla that makes us feel at home while on board, and last but not least to my brother from a different mother Ruziel Lopez that I always make sure he is going to be part of the tour to Isla EspÃ­ritu Santo before booking the day of the tour, because Ruz is the best in all aspects, he makes sure you are 100% satisfied with your day, abrazo mi hermano.","sea, cortez"
We took the electric bike beach adventure. It was so much fun and our tour guide Pepe was amazing. He explained every detail of the adventure. After we had lunch and made margaritas. They were so tasty! Highly recommend!,beach
Chicas did a wonderful job! Had so much riding camels by the beach. Great experience,beach
"Had the best time on the Sunset Cruise on the Sea of Cortez. Saw whales, sting ray, otters, and dolphins! It was surreal.","sea, cortez"
"I booked an excursion with the Cabo adventures group for a two tank certified scuba dive. This was my first ocean dive after my certification, so this was my 2nd dive, with my first being in a rock quarry. The Cabo Team made me feel comfortable and confident in my certification training. Sylvia the dive guide was great and knowledgeable about the wildlife. We went over the dive plan and all of the potential marine life we might see which we did see almost everything that was mentioned. The group was able to swim with the sea lions and we seen stone fish, moray eels, turtles, and many other fish. I would highly recommend this dive trip for any diver going to Cabo.",sea
"Whale Watching Photo Safari was incredible and a  must- do in Cabo if you are there during whale watching season! Our guide, Mario, was incredibly knowledgeable. Our captain, Nelson, was amazing at spotting whales!",sea
"We did the snorkel, paddleboard, kayak and water scooter tour. The tour includes pickup from your hotel. On our tour, we took the banana boat speedboat out to Chileno Bay. That ride is about 40mins, and you pass by all the huge mansions. On the way out from the marina, we rode by the Arch of Los Cabos, Lover's Beach, Divorce Beach, Scooby Doo rock, and where the Sea of Cortez meets the Pacific Ocean(Land's End). Me & my wife decided to kayak in the Sea of Cortez, after realizing snorkeling was tough due to the strong waves. Kayaking was fun. I appreciated that we snorkeled in an area where it wasn't crowded with other tours. Equipment is in decent to good shape, but the sea scooter isn't as fast as you think. The crew was nice. A great tour for the price. We had cheese quesadillas at the end, which was more like a snack. The marina facility is pretty big.","beach, sea, cortez, divorce beach, land's end"
Emmy and his crew were amazing!! We had the best time on our snorkeling trip. They not only had a lot of facts to share about Cabo but also about the sea life in the area. The food and drinks were also really good. I would definitely recommend!,sea
"Love the camel ride tour.  Riding on beautiful tall camel walking by the gorgeous beach is a satisfactory experience.  Saul is a great guide, full of humor and energy, bringing the tour full of fun.",beach
"Took the sailing trip with one bay of snorkeling. Crew was GREAT! Tou start off with a mimosa or orange juice, then open bar once you hit the ocean. You are also fed on the way out to the bay and on the way back. They take you out by the arch, loverâs beach, etc on the way out. Went to a bay that wasnât very crowded for some paddle boarding and snorkeling. It was a nice day on the ocean and, again, the crew was awesome. We didnât buy the photos at the end. They wanted $114 USD.",beach
"The Sea of Cortez adventure is an amazing full day excursion. Picked us up at our resort and shuttled us up to La Paz. The tour is on a large catamaran for smooth sailing. The staff was fun and friendly. The food was delicious, although my two teens thought breakfast could have been more. Most importantly, the dives sites are beautiful and teeming with life.","sea, cortez"
"We did 2 tours with Cabo Adventures and they were both amazing.1st we did a private sailing trip. Jesus was our guide, Bruno was the captain, and Mariella was the photographer. We had so much fun. The drinks were flowing, the snack boxes were good, and Jesus was a great DJ. The wind wasn't blowing much but they still put out the sails which was so calming and amazing. Highly recommend.Next we did the luxury whale watching and I believe Jose was our guide. The luxury whale watching was nice because it was a cool catamaran and you didn't have to wear life jackets but the downside is the boats can't get as close to the whales. We saw quite a few pods of whales and even a baby which they said was the first they've seen this season. Jose was so genuine and knowledgeable about whales that it made it even better.I don't think you could go wrong with Cabo adventures.I personally wouldn't do the swim with dolphins but that my personal issue with dolphins in enclosures.",sea
"I ended up liking this company slightly better than Cactus Tours. I took the luxury day sailing and jet ski tours with Cabo Adventures. I was impressed with how smoothly the process from check in to adventure went. The tour guides were kind and skilled. The equipment was modern and in good condition. There was never any undue pressure to purchase pictures or additional items.

The luxury day sailing tour was my favorite. Food was pretty good, but the drinks were even better! We saw many humpback whales and seals.

The jet ski adventure is not for everyone. It was certainly memorable, but those are very rough seas! Dont expect to be full speed ahead. It was still well ran and I cannot discount the rating of the tour company based on the conditions of the water.",sea
"We did two adventuresSnorkeling at Cabo Pulmo and the Luxury Sailing Your and both were awesome!! I'd recommend these tours to adults over 18 and wouldn't recommend children under 17, but I'm just being fickle because it was far more ""adventurous and fun"" with adults! The only regret, I didn't take a Go-Pro!!! The sailing trip was freaking awesome; I think we were on boat #2, and Saul was a hit, ""you signed up for sailing, and we are going to sail""!!The snorkeling adventure at Pulmo was fantastic, saw sharks, sea turtles, and everything else!!! We spent a lot of time in the water, and it was well worth the 2-hour drive!!!",sea
"Our guide was determined for us to see the whales breaching - and we saw them multiple times. He had great stories about the area and the beaches. We were an hour late for our reservation due to a long lunch and they were super accommodating.The boat was in need of a few repairs and we were soaked, but the friendliness of our boat captain and his stellar tour made up for the state of the boat.",beach
"After having been on several snorkeling excursions all over the world, I can honestly say that this one was hands down the best. From start to finish this company is a well-oiled machine. We were picked up on-time from our hotel in an air conditioned van, everyone was masked up & the driver was super friendly.   The crew was exceptional and really made this tour memorable. They were incredibly attentive & knowledgeable. We had the privilege of seeing several whales on our way back in and they took the time to stop and let everyone experience it (one of the whales appeared out of nowhere RIGHT BESIDE THE BOAT! Absolute highlight of 2021). The crew were also very excited about the whales which was very refreshing. The photographer took a ton of pictures throughout the day & they turned out great. You always had a drink in your hand & the lunch they provided was fresh and delicious. I had a bit of a mishap with the sea scooter (my bikini top got stuck in the propeller in the water ð) and the crew handled it super professionally and discreetly. Thank you so much to JosÃ©, Joel, Jacob & Roberto, you guys killed it, we will 100% recommend this tour to our friends & family and weâll be back in the future. Wishing you the best for the future & we hope you have a great new year!",sea
"We did the boat ride to the arches and camel ride excursion combo.  Maxwell was an awesome guide and knew so much the history and geography of the marina, beaches, and history.  My wife and I spent the afternoon with Isaac and the camels.  Great time, great food-Isaac was very knowledgeable, was enthusiastic about what he was doing.  He loves these animals!  Would recommend this tour, but bring water and snacks.",beach
"We did the sea of cortes tour and it was great. Though, it took 2hrs to get to the boat and back, it was definitely worth the trip. Brought us where the seals are with plenty of fish. I wish i had camera under water that works then i could have taken a lot of pics.",sea
"Very disappointing tour! Cabo Adventures check in staff was very friendly and attentive. But it all changed when we got onboard the sailboat with captain Erick. The tour was supposed to last 2 and a half hours, but captain Erick returned our sailboat to the Pier, after only 1 hour 45 minutes!! He offered to sail through Sea of Cortes, but Ã­nstead he kept the boat in a still position for long periods of time. I thought the purpose of the tour was to sail!! During these long periods of nothing, my son wanted to film with his drone. Once again, captain Erick very rudely didnât allow him to do so with no valid explanation. Suddenly my daughter saw whales nearby. We asked captain Erick if we could go a little closer to see them. He answered rudely that our tour was not a whale-watching tour, and that he would be late for our return. Late?? He cut off our tour 45 minutes earlier!!! The bright side of our experience, was that we did get to see other whales on our way back. This actually improved our overall experience. Finally it was very uncomfortable having EstÃ©ban (the other staff member) helping you get off the boat with one hand and holding a hat in his other hand while DEMANDING VERY RUDELY that he was expecting a tip!! (Which he of course didnât receive at all). Is this a luxury sailing experience?? I seriously doubt it!!",sea
"We visited Cabo in early May and booked 3 adventures with Cabo Adventures - Luxury Sailing, Camel Combo (Camels, ATV, & Eco Farm), and Dolphin Trainer for a Day

The Luxury Sailing Tour was great! The captain and crew were experts and knew exactly what they were doing. Saul was part of the crew and he was fantastic! I cannot remember the captain's name, but he was great, too. Rocsi, the photographer, was also nice. Please note, however, if you've never been sailing, the boat tips A LOT when the sails go up. I had never been sailing and didn't know what to expect. Thankfully, I was able to sit in the back of the boat during the sailing portion (which was only about 45 mins-1 hour of the whole 4 hour experience) because I was not particularly fond of the sailing. But overall it was still a great experience, and you receive a snack, lunch, and unlimited drinks.

The Camel Combo was awesome! Be aware this tour is about an hour away from Cabo, so factor in travel time if you make other plans for the day. You first tour the Eco Farm and learn about how they recycle plastics from all over, and also how they make chocolate. Isha was a great tour guide. Then you take a short ride on the camels on the beach. It was so much fun. We also go to take pictures with Jefferson the Camel. I can't remember our camel guides name, but he was younger and gave us so much great information about the camels! Finally, we got to ride on the ATVs. Our guides Bryan and Noriega were fantastic. We had an awesome time, and we also had a tequila tasting at the end. I forget our photographer's name (he was shorter and had curly hair), but he was fantastic! I would say he took the best photos from all of our experiences with Cabo Adventures.

The Dolphin Trainer for a Day Experience was THE BEST! It is WELL worth the money, and I recommend this dolphin experience over all the others. You definitely get more for your money doing the Dolphin Trainer for a Day. When we arrived we received a free t-shirt and hat before immediately going to learn about the dolphins. We learned how they are checked every morning to make sure they are healthy, have an appetite, and if they want to participate with people that day. If the dolphins don't want to participate, they aren't forced to. It is their choice each day if they want to interact with guests, and they are never punished. We toured the facility and learned how the dolphins were taken care of, what they eat, how the water is filtered, etc. We got to swim with the dolphins, help train one of the baby dolphins, and then learn commands and work with the dolphins one-on-one. Our trainer Paola was AMAZING and a great trainer. Lunch is also included in this package. The photo packages are SUPER expensive for this experience, however, they say the money goes back into caring for the dolphins. So be prepared to spend money on the photos if you want them. We bought them because it was a once-in-a-lifetime experience.

Overall, Cabo Adventures is great, and we will definitely book with them again if we're ever in Cabo again! We bought the photo packages at each experience and went in with the mindset of buying the photo packages, so we made sure to put aside extra money for that ahead of time. We did not feel hassled for tips like some other comments mentioned, but we did tip all of our guides, photographers, and transportation drivers because they all provided excellent service. I highly recommend Cabo Adventures for any of their experiences when you visit Cabo!",beach
"Just got back from Cabo for my birthday trip. We booked a snorkeling with whale sharks experience, but unfortunately it was cancelled due to sea conditions. Cabo Adventures was very accommodating letting us (a group of 4) choose a different activity and refunded the difference in price. We did the ATVs and camel ride with lunch and it was great! They even did a little tequila tasting with lunch. Everything was well organized and we still saw humpback whales from the shore during our camel ride. Hopefully we can try again another time for whale shark snorkeling. Would definitely book a tour with these guys again.",sea
"Jerry knew so many whale facts! He was an amazing guide. We saw a lot of whales, even this late in the season. Many thanks to the wonderful crew (Vianet and Claude) and Captain Jorge for a great whale watching tour!",sea
Wow! What fun! We booked the E-Bike Tour and were pleasantly surprised how great it was and the staff biking with us kept us on track and were very helpful â¦plus the photographer that would pop out and take photos and a drone video of all the bikers going along the beach!!! Which u can purchase after the rideâ¦to top it off they served us a Mexican lunch and taught us  how to make the best margaritas ðWe enjoyed ourselves and would highly recommend Cabo Adventures for any of their events!!! Top notch!!! Next time we are riding the Camels on the beach â¦.Thank you Saul and staff for such a memorable adventureâ¦see u next time when we come back to Caboððâ¥ï¸â¥ï¸ Vic n Jill from Canadað¨ð¦,beach
We did the Cabo Adventure Luxury Day Sailing. The tour takes you by the famous Arch of Cabo and a nice day of sailing along the coast and stopping at the Santa Maria Bay to get off and enjoy the water. The tour was fantastic.,santa maria
Highly recommend!!  We booked the day sailing and snorkeling trip.  From the minute you step on the boat you are taken care of.   We were given some mimosa.  Kids got the choice of a juice.  It was whale mating season so lots of activity in the water and we were able to get up close and personal with the whales.  Food that was made was delicious!,sea
"Booked the luxury private snorkeling boat tour with Cabo adventures for my friends joint bachelor and bachelorette party, I always do a lot of research before booking things especially in another country. The booking process and staff were extremely friendly and quick to respond. They answered all my questions. They were on time and someone was there every step of the way to guide us until the end of the boat tour. This was the best boat experience I have ever had and the bridal party even complimented me and said I did a good job planning but it was really the staff at cabo adventures that made this experience! Shout out to our crew Mario, Lukas, Johnny, Vianet! They were so professional and nice. They had a lot of patience with our big group of 16 people. I really felt safe on the boat with them. The boat was super clean and the food was delicious and served so nicely. They also served us endless drinks! Thank you again and will be sure to come back next time!",sea
"Had a great time on the luxury day sailing tour this weekend! Mario (our tour guide) was very upbeat and informative definitely set the tone for a great day. Pablo (our captain) was professional and found us some excellent whale watching. And Victoria (the photographer) was enthusiastic, talented, and kind. The four hour tour felt like it had a little of everything; we cruised by the arch and went swimming in the Santa Maria Bay. Easily one of the best experiences from our weekend in Cabo!",santa maria
"What an incredible trip!! Iâm arriving back to my hotel after a day of swimming with whale sharks, eating delicious food, and making new friends. This is my 3rd trip with Cabo Adventures and this company always delivers unforgettable experiences. The whale shark tour was planned seamlessly, our guides Michelle, Jose and Mario were whale shark experts teaching us tons about the whale sharks and the environment around us. Cant recommend the whale shark tour enough as well as all the other Cabo Adventures trips.â¦and we got incredible pictures and videos of it all ð¤©",sea
"Cabo Adventures was amazing!! We went on the 3 hour snorkel tourRichie was so funny and an awesome tour guide!!! Highly recommend Richie! The Captain was Auroleio, he made the ride so much fun!! They took us right by the love island and divorce island. We saw seals up close and beautiful turtles in the water. Our photographer was Jorge, captured an amazing video of my husband and I with the fish. You have an option to pay for thosePictures and videos after the tour. Lastly, we were fed quesadillas, delicious!!! We will be coming back and requesting those men again!!",sea
"Really well organized. Staff were knowledgeable and friendly. They went above and beyond to make sure the day was fantastic. Drinks flowed the whole time.It was whale watching season so even though that wasnât the tour we were doing, they still were great about getting us optimal sightings. A pod of about 200 dolphins went by and we got to hang out with them too!!",sea
"Cabo Adventures are pros at what they do. I booked the snorkeling tour where we were taken from the marina around to Chileno Bay. On the way we were able to see some jumping sting rays as well as a whale breaching the water. They provided all the gear for us to snorkel at at Chileno Bay, and we were also able to kayak, paddle board and even use those underwater diving scooters. On the way back we drove the boat around to see El Arco, Land's End, Lover's Beach, Divorce Beach & Neptune's Finger. All in all a great tour.","beach, divorce beach, land's end"
We are so glad we chose to go on the Electric Bike Beach Adventure & Ecofarm tour with Cabo Adventures. The biking was so much fun & our guide Isaac was the best!   He was funny & eager to show us a good time. He made sure we were comfortable with the bikes and answered any questions we had. The area is very scenic and we had plenty of stops to take it all in. This tour definitely exceeded our expectations!,beach
"We booked a whale-watching tour with Cabo Adventures through the concierge at our resort.  We chose the 2-hour tour on a small inflatable raft that held about 18 people on bench seats.  Their headquarters are conveniently located at the Cabo marina -- staff were friendly and helpful and the facilities were clean and comfortable while we waited for our tour to begin.  Once your group is called, it's a short walk to a nearby pier where life vests are distributed and you board the raft.  The ride itself was smooth and pleasant (don't bother wearing a hat unless it's securely tied on) and the raft was clean and well maintained. At the beginning, they stopped at The Arch for a photo opp, which was a nice bonus.  Our tour guide seemed knowledgable and was able to answer any question we threw his way -- we especially appreciated the fact that this organization respects the environment and the whales themselves.  While we didn't see any dramatic whale leaps during our tour, we saw plenty of breaches and a few small jumps.  Definitely recommend this operator -- very fun.",sea
"We chose the luxury whale watching, our guide Jose was amazing, very hospitable crew. Just an overall amazing experience with the fancy wait area and the nice yatch. We saw a lot of humpback whales( even a breach), dolphins and even a sea turtle. Highly recommend this experience with Cabo Adventures! They were the best based on both my prior research, and experience.",sea
"Couldnât say enough nice things about this adventure! We did the camel ride + ATV trip, and had a blast. You get to get up close and personal with some adorable camels, and your ride takes you right along the beach. Isha, our camel guide, was knowledgeable and friendly. The second part of our tour did not disappoint! We rode ATVs with Alain, and he was so much fun. The ATV ride weaves you in and out of some beautiful Mexican landscapes, and we saw lots of wildlife along the way. He kept it fun, and then hung out with  us while we did a tequila tasting and gave us all kind of interesting info about the area and tequila. Definitely a unique experience that we will remember forever. Thank you, Isha and Alain!",beach
"My family and I did the Luxury Whale Watching experience last month and loved every minute of it! The staff was friendly, responsive, and worked hard to ensure everyone had a fun and safe time. The light lunch provided was tasty and fresh, and the staff kept the drinks coming.The highlight of the trip, of course, was the sea life. We saw flying fish, sea lions, dolphins, and three humpback whales - all with the beautiful backdrop of the setting sun. Worth every penny and a lot of fun for older kids and adults!",sea
We had a great experience! The camel ride  along the beach was fabulous. We saw a few whales too! The lunch was delicious and Jorge was the best guide and super knowledgeable about the tequilas we tasted.,beach
We had a great time but the only reason I booked this excursion was because my son wanted to do sea scooters and I guess they were broke down. Otherwise my son had a great time.,sea
"We got to see the whales and the boat was beautiful. We sat upstairs in the comfy seats and had great views. Yummy mimosas with fresh OJ. The âgourmet lunchâ was just sandwiches, it was a lovely half day at Sea!",sea
Person who sold our trip completely lied about the experience.    We were to have private transportation with direct travel.  Instead we were put on a charter bus that had 4 stops prior to leaving.  When our trip was over we couldn't leave for an hour until other people could fill the bus on the return.    The Polaris adventure was awefull.  They said it was two hours and we would go through rivers and ride on the beach.  The river was homemade and we never got to ride on the beach. The ride was only one hour and then one hour at a restaurant.  Worst experience ever.Once our charter bus filled up we had to make 4 more stops letting people off.   We spend 3 hours on a bus and one hour on our polaris.   Avoid this company at all costs.,beach
Passed on paying $138 per person for the Carnival cruise excursion and did this one for $30 per person (after haggling of course) and bought our own lunch and drinks in an air conditioned restaurant. This tour took us around lands end and stopped at several beaches. Came back to get us after spending an hour on one beach.,beach
"Overall, we really enjoyed the whale watching activity. We saw several humpbacks and a gray whale. A baby humpback kept breaching near us as it seemed to be in a playful mood. Between the yacht and the captain, the y kept the ride pleasant even though the water was a little turbulent at times. I never felt the least bit seasick or unsafe. The crew did a good job of keeping everyoneâs glass full, however I will say  the lunch was nothing exceptional. The tour guide was knowledgeable, but sometimes he was hard to understand because he talked very fast and had a thick accent when speaking English. After we had seen numerous whales, they put a listening device in the water so we could hear the whales communicating, but it did not work. It was a great experience but there were some areas for potential improvement.",sea
"I did 2 tours with cabo adventures , snorkeling and electric beach biking snorkeling was great, had several helpers, water was murky and its a bit crowded with other tours so you have to watch out for other boats, beach biking was not what I was expecting as we were dessert mountain biking really, I wouldnt take anyone under 14 on it and if youre older make sure you are in great shape, I fell twice second time I fell into the handle bars and still bruise and hurt today, the guides kept asking if I was ok even when I said I wasnt but I pushed through the rest and got an ice pack in the end, enjoyed it overall but wouldnt do the bike  ride again. definitely would book with cabo adventures when im back",beach
"We did the Sea of Cortez tour, and we were generally happy with the tour.The way from San Lucas to the Sea of Espirito Santo Islan is exhausting; 2.5 hours drive, and another two hours cruise to the Sea Lions' colony. But from that moment, we were in paradise.We did snorkeling with the Sea Lions, which was one of the most magical experiences I had. The bay was beautiful, the visibility was great and there were lots of fish and cutie Sea Lion babies that swam very close to us.We then went up to the yacht where the tour guide and the crew served fresh lunch of nachos, sandwiches and ceviche, and we enjoyed the open bar, which was part of the package deal we bought.On the way back to La Paz, the yacht made an hour stop at on of bays of Espirito Santo Island. We snorkeled at the green and beautiful water there, played on the floating mattress and enjoyed the sun and the beautiful view.Our tour guide was very professional and nice. The only thing we didn't like was the fact that on the way back, the tour guide decided to make an unplanned stop at a local taco restaurant / supermarket / kiosk - not sure what this place was.","sea, cortez"
Went snorkeling with the sea lions with this place. It was an amazing day and they take care of everything! Our guide Razz was awesome,sea
"EBike tour with margaritas making, April 1st.Wonderful ride and tour by guide Issac and crew.  First time on an ebike, good instructions and easy to ride. Loved the trail ride and the beach ride was fun.  Wanted to go around again.  Photographer was excellent.  The luncheon was delicious, and the margaritas making very informative and interesting.Highly recommend it.  Our van driver is also very friendly and drive safely.",beach
I had the pleasure of doing the luxury day cruise and man it was a blast.  They had 10 people go at a time for the day cruise and even had 2 meals on board with unlimited drinks. It was awesome!You will sail to santa maria beach where you can do water activities like snorkeling and paddle boarding.If you're lucky then they will hook you up with a sunset cruise and it was just a great experience for the price.I would highly recommend this place,"beach, santa maria"
"My husband Felix and I had the pleasure of booking with this wonderful company for our honeymoon adventures! We had the best experience possible and were overjoyed by how kind and fun the staff were. We rode camals, rode our atv's through the desert while overlooking a beautiful beach, went snorkeling and seen all the fascinating sealife and last but not least! swam with the dolphins, which was an absolute dream of mine    we were amazed by our wonderful trainer Dujon, the beautiful Fernanda to capture the photos and ofcource our dolphin, Gandalf!!! I did this on my birthday and it made my entire day so much more special ð this was a vacation we will never forget, thanks to you're teams ability to strive for perfection and ensure all the guests leave with a huge smile on there face. Thank you so much! ð","beach, sea"
"This crew was excellent. They took us up close to the arch and showed us the lovers/divorced beaches on the ride out to find the whales. In total, we saw 5 humpbacks. We were able to get some really impressive photos. They also had a photographer on the boat who also took amazing photos that we could purchase. They were alot of fun and had extensive knowledge.","beach, lovers"
"We did the swim with whale sharks adventure. We were very pleased with the entire trip, and enjoyed it from start to finish. Oliver and Raz did a fantastic job. A morning snack (basically a full lunch) was provided on the way to La Paz, while they went over alot of facts and stories about the adventure and the surrounding area we were in. This was followed by a video about the Baja of California. Once in La Paz we got geared up and walked to the marina to board our boats.The trip had 18 ppl on it, so we took 2 boats out. We were surprised to learn how controlled this trip is with checking and getting registered to even get out to the area where the sharks are, to only allowing so any boats to be in the designated area, only 4 ppl allowed in the water at a time with the whale shark, each boat can only spend a max of 30mins with the whale shark as well. Mind you the local tour guides don't always seem to follow these rules.It was a beautiful day, and it was only the 2nd weekend of the season for the whale shark trip. There were only 2-3 whale sharks in our area. We got to swim with the same one on 2 different dives, and it was absolutely amazing to be in the water with these huge creatures. It was really breathtaking. Unfortunately the water was pretty cloudy, bit that also forced us to get within a few feet of them. The water was warm, and I was a glorious day, we even got to swim with a pod if dolphins.After the trip we rinsed off at the Cabo Adventures facility, and headed to a local restaurant for a tasty meal. From there we headed back to Cabo.",sea
