id,Time,Comment,Time_owner,Comment_owner,Score
37,2 months ago,"I loved my experience here! I did the camel ride. The camels were so sweet and well-cared for. It looked like they were trained using treats & positive reinforcement and NOT any cruel methods. We also had lunch & a tequila tasting. Our tour guide, Michael, was AWESOME! Everyone here was so friendly, helpful, and pleasant.Be advised that the photos are an additional cost. I bought the cheapest package and paid $85 for digital copies that were uploaded to my phone via USB-c immediately after paying, however families had to pay more (since they had more photos/individuals). However, it was worth it. The photographers capture excellent photos, the image quality is high, and the memories are worth keeping!",2 months ago,"We truly appreciate your comments.

It�s nice to know the service provided during the Outback & Camel Safari tour was friendly and attentive. As a company, we welcome all comments since they help us learn and improve.

Best regards,",5
38,3 months ago,"Nico was great! We really enjoyed the views and learning about Cabo on the Arch Tour. Also, Razz and Captain Chewy were great during the Whale watching tour. Razz taught us so much about Whales.",3 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
39,2 months ago,We had an amazing electric bike tour today with Isaac. I was so pleased that he was so patient with us riding slowly. This was an excellent ride and our first experience in the sand. The bikes worked beautifully once we got the feel of them. What a great day this was. Keep up the good work Isaac. You are a great instructor.,,,5
40,2 months ago,"amazing experience, got to ride with camels and had a lot of fun. Learned a lot that I never knew, and even had a lovely lunch with my family. 10 out of 10 would recommend and shoutout to bill for being an amazing guide.",,,5
41,3 months ago,"I highly recommend this tour company! My partner and I booked several excursions during our trip to Cabo San Lucas and loved them all! They have so many to choose from. Their facilities are nice and guides are super professional and nice. We had a blast! I recommend the beginner's scuba dive, the arch/camel excursion, Cabo Pulmo snorkeling, and zipline tour! Note: they do have a fee at the start for park entries and equipment, depending on the tour.",3 months ago,"On behalf of everyone at Cabo Adventures, we truly appreciate your kind words and look forward to next time!",5
42,4 months ago,Great experience. Very knowledgeable guides. Excellent service and equipment. Informative pre-dive reviews.  Only 5 minute boat ride. This is a very good option for the diver who wants a well thought out 2 dive adventure at arches and Lands End to get a feel for Cabo.,,,5
43,6 months ago,"Absolutely wonderful and professional. Mike, Lucas, and all of the staff were amazing on both days of adventures we had planned. We did the camel/ATV/lunch and tequila tasting on one day, and the snorkel and the arch viewing (he even took us whale watching for a few minutes, this wasn't on the tour).Con: The only drawback was that the photo packages to purchase were over priced and you're not really allowed to use your phone on the excursions. I'd encourage them to add a few packages under $100 for a few photos.Otherwise I'd be 100% book with them again. Such a great time!",6 months ago,"Thank you for taking the time to write about your experience with us, we appreciate your feedback.

As you mentioned, cameras and cell phones are not allowed, the safety of our guests and staff is our main priority and in order to avoid accidents, we need your complete attention and hands-free during the ride.

Regarding the cost of the pictures, we stand behind our rates, as the staff that captures, processes, and sells them is highly qualified and delivered with professional quality.

Feel free to contact us with any further questions or concerns at info@cabo-adventures.com",4
44,2 months ago,Luxury day sailing excursion was incredible! The guides were so nice and knowledgeable. The food was amazing and the drinks were included. There was a photographer on boat to take pictures and they were worth the purchase. The view was breathtaking to the arch. Highly recommend if you want a relaxing day but still want to see Cabo and have an adventure.,,,5
45,6 months ago,"I recently went on a whale watching tour with Cabo Adventures and it was an absolutely amazing experience. Our guide, Franco, was incredibly knowledgeable and passionate about the whales and other marine life we saw on the tour. He made sure to point out all the different species and gave us lots of interesting information about their behavior and habits.The tour itself was well-organized and ran smoothly from start to finish. We saw an incredible number of whales, which was definitely the highlight of the tour for me. It was truly awe-inspiring to see these majestic creatures up close and personal.Overall, I would highly recommend Cabo Adventures to anyone looking for a fun and educational adventure in Cabo. The team was professional and dedicated, and the tour itself was truly one of a kind. If you're interested in marine life and want to experience it up close, this is definitely the tour for you.",6 months ago,Thank you for taking the time to write such a wonderful review about Cabo Adventures. We are delighted to read you enjoyed your adventure and appreciate your comments regarding our service.We look forward to welcoming you back in the near future and creating more unforgettable memories together.,5
46,a month ago,"Off-Road Fun in the Desert

This was our first time driving UTV's, and it was a LOT of fun. Our guide, Damian, gave excellent instructions on how to operate the vehicles and kept us safe on the dusty desert roads. He was really entertaining during the tequila tasting after our buffet lunch. The food was good and the tequila was excellent.

We were driving our UTV for 1.5 hours. We were able to switch drivers. Instructions before the tour, lunch and tequila tasting took another 1.5 hours. The trip from our hotel in Cabos to the UTV base is included in the price and takes approximately an hour one way due to heavy traffic in the city.",a month ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
47,4 months ago,"We did the whale watching excursion.  Carla was really knowledgeable!  Her love of whales was obvious!  They did an amazing job at getting us close enough to see the whales, but making sure we were maintaining an appropriate distance to keep both our boat and the whales safe!",4 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.

All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
49,a week ago,"Wonderful Todos de Santos trip. Fresh homemade bean and cheese burritos and coffee for breakfast,  paletas (lots of flavors to choose from) for a snack, and all you eat  buffet even for the pickest eater  (my nephew). I just wish we had more time to explore.  Thank you, Marcelino!!!! for the informative tour.",a week ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!",4
50,2 months ago,We had the best time on this excursion. Food at the end was also delicious. The guides were great and funny. We felt it was very well organized and we got soaked driving through all the puddles. So fun! Highly recommend.,,,5
51,2 weeks ago,We had a great time on the boat! Emi and team were a fun bunch! The drinks were refreshing and the boat just beautiful. Snorkeling was fun and the water was a great temperature in the sea of Cortez. I liked the ride and scenery the most. 🖤,a week ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
52,2 months ago,"A bit of a bus ride to get there, but after a short nap, prepare for your cheeks to hurt from all the fun, both the facial ones and the “other” ones.Bic and Mario were warm and funny, and made the adventure an awesome experience.Prepare to get wet!!!",,,5
53,5 months ago,"Cedric our guide was absolutely amazing, very informative, was friendly and knew exactly what to look for.Captain Aurelio knew all the best spots and got us exactly where we needed to be when we needed to be there. We felt safe the entire time as we moved to different whale sighting spots.The photos Fernando managed to get were stunning. All in it was an amazing trip and we managed to see all the different types of whales and even managed to see a turtle swimming! We couldn't have asked for a better adventure or crew and were so thankful for the time they gave us.",5 months ago,"Fue un verdadero placer atenderlos y compartir esta experiencia con ustedes.A nombre de todo nuestro equipo de guías, ¡gracias por su preferencia y los esperamos pronto!(Translated by Google)It was a real pleasure serving you and sharing this experience with you.On behalf of our entire team of guides, thank you for your preference and we hope to see you soon!",5
54,5 months ago,"We enjoyed the Luxury Sunset cruise, which was 10/10 amazing! Great food, staff, boat! We even saw whales! We also did the snorkel tour! Again a solid 10/10! The tour guide was fantastic and we saw so many fish and sea creatures and stopped for whales on the way back! Would do both again!",5 months ago,"We truly appreciate your review!It’s great to know you had such a wonderful experience with Cabo Adventures. On behalf of everyone in our team, thank you for your preference and see you soon!Sincerely,",5
55,a month ago,"I had such a Great time!  I was so nervous and they team made my adventure AMAZING!!  I can’t wait to come back and try another adventure with Cabo Adventures!!  Thank you to Ladis, Gus, Brandon, Kike and Dioney also our driver, Misael!!",2 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
56,3 weeks ago,Great time on the luxury sailing trip. Crew was great and attentive. Would of been nice to get your own lunch instead of sharing it. Lunch and drinks were great though.,a week ago,"Thanks for the awesome review! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you. Come back and see us soon.",5
57,2 months ago,"I went on the sailing excursion, I felt it was a decent deal at $129 (for just me). The guides are a little overbearing, and talk to you like you are on a grade-school field trip, but they are sincere. The music was loud, and too pop-py for me, and the spring-breaker girls on board sang every song, word for word...when they weren't taking sefie after selfie. But the music got better as the trip went on, even heard some Floyd. Food is marginal, but something, anyway. Beautiful views, saw some whales, too. A decent deal overall, gives you something to do on a day with no plans.",,,5
58,2 months ago,"Such a fun Cabo excursion! We loved every minute of our snorkeling tour with Captain Danny, Daniel and Illiana. Food was delicious and plenty, as were the drinks. We saw a ton of fish and Capt Danny even took a detour so we could see whales! Our most memorable excursion to date. Highly recommend!",,,5
59,4 months ago,We did the whale watching tour that included alcohol and food.  They give you a memosa when you arrive on the boat and then you had 2 more drinks of your choice. The food was something like a bento Box of appetizers for 2 people. It was plenty of food and this package was worth the money.We saw plenty of whales and the guide and captain were very knowledgeable. I would recommend this tour to anyone!,,,5
60,6 months ago,Dolphin Swim was awesome. Water is a little cold in mid-December but well worth it. The facility is beautiful and the dolphins seemed happy. The back drop is set on the mountains of Cabo and I could have had a better time. The picture package was the only negative I can think of. $270 for pics and videos. That was steep. Thankfully I read a ton of reviews and planned for it.,,,5
61,6 months ago,"This is an adventure that everyone visiting Cabo San Lucas should experience. And I do mean experience, because this is more than just a tour, it’s an experience. The reservations with the booking agent at the resort we’re staying were easy and quick. The transportation to and from the resort was friendly and hassle-free.  The food and drinks (virtually unlimited) were fresh, cold, and most enjoyable. The boat crew who attended to us did so with outstanding service. Seeing whales and dolphins in the water were not part of our expectations, but when the crew spotted several humpback whales in the water, they slowed down so everyone could experience the thrill of seeing the whales jump out of the water. That was quite an experience. When we arrived at the cove to snorkel, the crew very clearly explained to everyone how to do it and individually helped those folks who had a bit of hesitation. Great service there. On the return trip to the marina the crew raised raised the sails on the boat for a 20 minute sail. There wasn’t much wind, but it was still cool to be sailing in Sea of Cortez. Overall a great experience. Thank you crew and staff.",6 months ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.We can't wait to see you again and create more fun memories!Hasta Pronto!",5
62,3 months ago,My family went on a boat tour for $50. My 5 y/o was free. Most of all we enjoyed every moment of our boat tour.,,,5
63,2 months ago,Amazing tour and saw whales has yummy snacks and DRINKS. Jorge gave us a wonderful tour with alot of information. So fun 💯,,,5
64,2 months ago,Had a fantastic time on our 2 bay snorkeling adventure.  Mario and Emme were great guides. Even got to see a hump back whale .  Well worth the money!,2 months ago,Thank you for visiting us at Cabo Adventures! We are delighted to read that your snorkeling experience was an amazing one; especially that Mario and Emme displayed great service and made you feel very comfortable.We are looking forward to welcoming you on many more trips!,5
65,2 months ago,"They made us wait a full hour before boarding the boat and the driver who took us there made annoying comments. The sailing itself was super fun, we had good food and drinks, swam in the beautiful ocean and enjoyed most of it. Juan, the captain, is truly professional, kind and funny. Also Lynnette, the photographer, was so enthusiastic and made a great effort, she’s charismatic with good conversation. Sadly, our guide Benjamín behaved rudely, even  treating elderly guests with arrogance and dismissing their questions. He doesn’t have a proper use of language and didn’t give us any useful/interesting information other than rules on the boat. Besides that, Cabo Adventures shouldn’t be making profit from animal exploitation (swimming and taking pictures with captive dolphins), that’s just disgusting.",,,3
66,3 months ago,"Did the electric bike adventure witch was great fun. The guide was Isaac, a super enthusiastic guide. After the bike ride we had a nice meal and learned how to make a real margharita.The pictures by Andres were fabulous.The only disadvantage was the ride from Cabo San Lucas to the private ranch which almost toke an hour by bus.",,,5
67,3 months ago,Jorge and Mickey Were AMAZING!!! for two hours we were treated like family from start to finish!! We saw multiple whales and even a mother with her baby! Whales are truly amazing creatures! Thank you for making this experience well worth the money!,,,5
68,2 months ago,Excellent time on the trails going up the mountain. Our guide Damian was the best!! Very very helpful and awesome personality. The food was outstanding with the Tequila tasting. Ask for Damian if doing the ATV tour!!! Oh ladies wear sports bra if you’re doing this tour lol.,2 months ago,"Thank you for your raving review!We are thrilled to read you enjoyed our ATV Desert Adventure tour, and that the team service and performance was so fantastic! It would be an absolute pleasure to have you back!Many thanks for your visit and warm regards from the Cabo Adventures team!Sincerely,",5
69,2 months ago,"We were very fortunate to have a wonderful guide, Isaac, for our Electric Bike Beach Adventure. Also we were in a small group of only three. We felt very safe as we explored various sandy paths with winding and twisty spots. One of us was more adventurous and was guided to attempt more but we all rode at our own comfort level. The scenery is gorgeous and the photos taken by the photographer who always found the right spot to catch us in action were definitely ’must haves’. We highly recommend this adventure and hope you get a guide as friendly and expert as Isaac.",,,5
70,5 months ago,"Had a great time on the snorkeling excursion with Mike, Nacho and Mike! Both Mikes, had some really cool information to share with us, showed us an awesome reef and really made sure everyone had a fun time. Once we arrived at the snorkel site we eventually got options for kayaks or underwater scooters (Honestly I didn't know this was included) but it just added to the fun. If you have a GoPro definitely bring it, you'll get some great pictures and videos. We also brought our own scuba mask (because we had a full face one) but if you don't have one they obviously provide everything and the gear is very clean and good quality. Make sure to bring or purchase reef safe sunscreen beforehand and apply the sun is no joke in Cabo.",,,5
71,2 months ago,Damien and Rolando “De Caprio” our cameraman were amazing!!  The guided tour was so much fun and the pictures were stunning. I recommend purchasing the whole picture package. The post ride dinner and bonfire at the end of the day was great because Demian made it so much fun. A totally unbelievable experience. Thank you Damian and Rolando. The Thomas Familia ❤️,,,5
72,2 months ago,We had a great time on the sailboat. Tito treated us royally by serving drinks and food and being entertaining. Juan the captain was impressive in his sailing skills especially when unexpected winds increased. I would recommend this excursion to anyone on Cabo.,,,5
73,a month ago,"What a wonderful day! We were picked up at our hotel and taken to the Cabo Adventure office to meet our guide and the rest of our group. Then we were off on a speed boat tour of the Arch of Cabo San Lucas, which was so interesting to learn more about and great to see up close.Then we drove about 45 minutes to get to Tierra Sagrada for the camel rides (which was of course the highlight).Afterwards, we had a great buffet lunch and a tequila tasting.This was so well organized, and the guides were very knowledgeable and made it fun!",,,5
74,a month ago,"Pepe was wonderful!! Would have literally never rode a camel unless the Bride suggested it, but it was such a beautiful experience. Great food, staff, and scenery. Would recommend 😊",a month ago,"Thank you for your amazing review and comments, especially regarding the service you received from our team members.All of us at Cabo Adventures look forward to welcoming you back in the near future and creating more fun memories. Hasta pronto!",5
